productName,vCpu,ram,unit,priceAmount,R12,R24,region,opiFlavour,osUnit,currency,productFamily,id,productIdParameter
Oracle-Optimized oo.xlarge.4,4,16,piece,800.0,720.0,680.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_XL4_LI,
Oracle-Optimized oo.2xlarge.4,8,32,piece,1599.0,1439.0,1359.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_2XL4_LI,
Oracle-Optimized oo.2xlarge.8,8,64,piece,2056.0,1851.0,1748.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_2XL8_LI,
Oracle-Optimized oo.2xlarge.16,8,128,piece,2970.0,2673.0,2525.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_2XL16_LI,
Oracle-Optimized oo.2xlarge.32,8,256,piece,4798.0,4318.0,4078.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_2XL32_LI,
Oracle-Optimized oo.3xlarge.5,12,64,piece,2627.0,2365.0,2233.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_3XL5_LI,
Oracle-Optimized oo.3xlarge.10,12,128,piece,3541.0,3187.0,3010.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_3XL10_LI,
Oracle-Optimized oo.3xlarge.20,12,256,piece,5369.0,4832.0,4564.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_3XL20_LI,
Oracle-Optimized oo.4xlarge.4,16,64,piece,3199.0,2879.0,2719.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_4XL4_LI,
Oracle-Optimized oo.4xlarge.8,16,128,piece,4112.0,3701.0,3496.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_4XL8_LI,
Oracle-Optimized oo.4xlarge.16,16,256,piece,5940.0,5346.0,5049.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_4XL16_LI,
Oracle-Optimized oo.6xlarge.10,24,256,piece,7083.0,6374.0,6020.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_6XL10_LI,
Oracle-Optimized oo.6xlarge.20,24,512,piece,10738.0,9664.0,9128.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_6XL20_LI,
Oracle-Optimized oo.8xlarge.8,32,256,piece,8225.0,7402.0,6991.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_8XL8_LI,
Oracle-Optimized oo.8xlarge.16,32,512,piece,11881.0,10693.0,10099.0,eu-de,oo,Oracle,EUR,Oracle Optimized,OTC_ORACLE-OPTIMIZED OO_8XL16_LI,
EVS ZFS High Performance Storage (Oracle Optimized),,,GB,0.11,,,eu-de,,,EUR,Storage,OTC_OO_EVS_HP,evs
Oracle PCA Setup Fee,,,Item/ot,8099.0,,,eu-de,,,EUR,Oracle Optimized,OTC_OO_SETUP,
